"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENLX","LORENSKOG/AKERSHUS UNIVERSITETSSYKEHUS airport","","NO_ENLX","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENBN","BRONNOYSUND/BRONNOY airport","","NO_ENBN","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENFL","FLORO airport","","NO_ENFL","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENKR","KIRKENES/HOYBUKTMOEN airport","","NO_ENKR","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENLK","LEKNES airport","","NO_ENLK","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENNO","NOTODDEN/TUVEN airport","","NO_ENNO","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENRO","ROROS airport","","NO_ENRO","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENSD","SANDANE/ANDA airport","","NO_ENSD","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENWY","YME airport","","NO_ENWY","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENYF","SOGN OG FJORDANE airport","","NO_ENYF","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENYV","HORDALAND airport","","NO_ENYV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENWV","VALLHALL PH airport","","NO_ENWV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENMH","MEHAMN airport","","NO_ENMH","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENBV","BERLEVAG airport","","NO_ENBV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENSK","STOKMARKNES/SKAGEN airport","","NO_ENSK","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENTC","TROMSO/LANGNES airport","","NO_ENTC","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENQK","KVITEBJORN airport","","NO_ENQK","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENQI","GULLFAKS A SPM2 airport","","NO_ENQI","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENXL","ELDFISK A airport","","NO_ENXL","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENXU","JOTUN B airport","","NO_ENXU","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENEK","EKOFISK airport","","NO_ENEK","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENOA","OSEBERG A airport","","NO_ENOA","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENOC","OSEBERG C airport","","NO_ENOC","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENQC","TROLL C airport","","NO_ENQC","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENQR","SNORRE B airport","","NO_ENQR","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENSL","SLEIPNER A airport","","NO_ENSL","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENQS","STATFJORD C airport","","NO_ENQS","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENDB","DOMBAS/BRUNSHAGEN airport","","NO_ENDB","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENFD","FORDE/SENTRALSJUKEHUSET airport","","NO_ENFD","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENRT","TRONDHEIM/ROSTEN airport","","NO_ENRT","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENPA","AASEGARDEN airport","","NO_ENPA","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENPT","REGIONSYKEHUSET TC airport","","NO_ENPT","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENAT","ALTA airport","","NO_ENAT","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENST","SANDNESSJOEN/STOKKA airport","","NO_ENST","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENKB","KRISTIANSUND/KVERNBERGET airport","","NO_ENKB","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENMS","MOSJOEN/KJAERSTAD airport","","NO_ENMS","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENXO","RINGHORNE airport","","NO_ENXO","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENXV","VARG airport","","NO_ENXV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENXQ","FRIGG DP2 airport","","NO_ENXQ","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENXD","EKOFISK D airport","","NO_ENXD","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENXE","EDDA airport","","NO_ENXE","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENFR","FRIGG airport","","NO_ENFR","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENLA","ULA airport","","NO_ENLA","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENNJ","NJORD A airport","","NO_ENNJ","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENSV","NORWAY ACC, STAVANGER airport","","NO_ENSV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENUL","OS/VAKSINEN airport","","NO_ENUL","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENSF","STATFJORD A airport","","NO_ENSF","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENSU","SUNNDALSORA airport","","NO_ENSU","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/NO_ENEV","HARSTAD/NARVIK/EVENES airport","","NO_ENEV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGC","LES EPLATURES airport","","CH_LSGC","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZK","SPECK-FEHRALTORF airport","","CH_LSZK","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGE","ECUVILLENS airport","","CH_LSGE","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPG","KAGISWIL airport","","CH_LSPG","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPK","HASENSTRICK airport","","CH_LSPK","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGP","LA COTE airport","","CH_LSGP","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPL","LANGENTHAL airport","","CH_LSPL","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSTR","MONTRICHER airport","","CH_LSTR","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZY","PORRENTRUY airport","","CH_LSZY","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGY","YVERDON-LES-BAINS airport","","CH_LSGY","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPO","OLTEN airport","","CH_LSPO","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZS","SAMEDAN airport","","CH_LSZS","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGL","LAUSANNE-LA BLECHERETTE airport","","CH_LSGL","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZB","BERN-BELP airport","","CH_LSZB","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZP","BIEL-KAPPELEN airport","","CH_LSZP","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZH","ZURICH airport","","CH_LSZH","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LS99","Unknown airport - SWITZERLAND","","CH_LS99","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPD","DITTINGEN airport","","CH_LSPD","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSTB","BELLECHASSE airport","","CH_LSTB","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZW","THUN airport","","CH_LSZW","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSTZ","ZWEISIMMEN airport","","CH_LSTZ","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSTA","RARON airport","","CH_LSTA","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZT","LOMMIS airport","","CH_LSZT","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSHC","COLLOMBEY-MURAZ airport","","CH_LSHC","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSMU","BUOCHS airport","","CH_LSMU","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSHG","GAMPEL airport","","CH_LSHG","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPV","WANGEN-LACHEN airport","","CH_LSPV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGG","GENEVA airport","","CH_LSGG","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPU","MUNSTER airport","","CH_LSPU","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSAW","SWITZERLAND MET airport","","CH_LSAW","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZE","BAD RAGAZ airport","","CH_LSZE","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZL","LOCARNO airport","","CH_LSZL","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZX","SCHANIS airport","","CH_LSZX","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGR","REICHENBACH airport","","CH_LSGR","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZN","HAUSEN AM ALBIS airport","","CH_LSZN","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGS","SION airport","","CH_LSGS","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZZ","COLLECTIVE ADDRESS FOR NOTAM AND SNOWTAM airport","","CH_LSZZ","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSER","RARON airport","","CH_LSER","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSEZ","ZERMATT airport","","CH_LSEZ","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPH","WINTERTHUR airport","","CH_LSPH","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSTO","MOTIERS airport","","CH_LSTO","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZO","LUZERN-BEROMUNSTER airport","","CH_LSZO","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZV","SITTERDORF airport","","CH_LSZV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZJ","COURTELARY airport","","CH_LSZJ","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSMF","MOLLIS airport","","CH_LSMF","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZM","BASEL airport","","CH_LSZM","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGN","NEUCHATEL airport","","CH_LSGN","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPN","TRIENGEN airport","","CH_LSPN","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZG","GRENCHEN airport","","CH_LSZG","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPF","SCHAFFHAUSEN airport","","CH_LSPF","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGB","BEX airport","","CH_LSGB","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZF","BIRRFELD airport","","CH_LSZF","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGT","GRUYERES airport","","CH_LSGT","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSTS","ST.STEPHAN airport","","CH_LSTS","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSGK","SAANEN airport","","CH_LSGK","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPA","AMLIKON airport","","CH_LSPA","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSPM","AMBRI airport","","CH_LSPM","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZI","FRICKTAL-SCHUPFART airport","","CH_LSZI","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZU","BUTTWIL airport","","CH_LSZU","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZA","LUGANO airport","","CH_LSZA","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSHA","GSTAAD-INN GRUND airport","","CH_LSHA","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSZR","ST. GALLEN-ALTENRHEIN airport","","CH_LSZR","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CH_LSMD","DUBENDORF airport","","CH_LSMD","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/MK_LWOH","OHRID airport","","MK_LWOH","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/MK_LWSK","SKOPJE airport","","MK_LWSK","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/FR_LFPB","PARIS-LE BOURGET airport","","FR_LFPB","valid","2014-01-31"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/TR_LTBZ","ZAFER airport","","TR_LTBZ","valid","2014-01-31"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/IT_LIGC","PANTELLERIA airport","","IT_LIGC","valid","2014-02-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/TR_LTCT","IGDIR airport","","TR_LTCT","valid","2014-02-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/TR_LTAL","KASTAMONU airport","","TR_LTAL","valid","2014-10-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/TR_LTCU","BINGOL airport","","TR_LTCU","valid","2014-10-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/TR_LTCV","SIRNAK/SERAFETTIN ELCI airport","","TR_LTCV","valid","2014-10-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/PL_EPMO","WARSZAWA/MODLIN airport","","PL_EPMO","valid","2014-11-28"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/FR_FMCZ","DZAOUDZI airport","","FR_FMCZ","valid","2015-02-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/IT_LICB","COMISO airport","","IT_LICB","valid","2015-02-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/PL_EPLB","LUBLIN airport","","PL_EPLB","valid","2015-02-12"
