"URI","Label","Definition","Notation","Status","AcceptedDate","skos:exactMatch"
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPS_HAB_KP00","Purchasing power standard (PPS) per inhabitant at constant 2000 prices","","PPS_HAB_KP00","valid","2013-11-20",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/O2_TD","Tonnes of O2 per day","","O2_TD","valid","2013-11-20",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_GEXP","Percentage of government expenditure","","PC_GEXP","valid","2013-11-20",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_HC","Percentage based on head count (HC)","","PC_HC","valid","2013-11-20",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_FTE","Percentage based on full-time equivalents (FTE)","","PC_FTE","valid","2013-11-20",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/TSWU","Tonnes of separative work units","","TSWU","valid","2013-12-12",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THM","Tonnes of heavy metal","","THM","valid","2013-12-12",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/GWD_THM","Gigawatt-days per tonne of heavy metal","","GWD_THM","valid","2013-12-12",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_IND_IUGOV12","Percentage of e-government users","","PC_IND_IUGOV12","valid","2013-12-17",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/T_DAY","Tonnes per day","","T_DAY","invalid","2013-12-19",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/T_PE_DAY","Tons of population equivalent per day","","T_PE_DAY","invalid","2013-12-19",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/P_MHAB","Per million inhabitants","","P_MHAB","valid","2014-02-11",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_KG_CLV00","Euro per kilogram, chain linked volumes  (2000)","","EUR_KG_CLV00","invalid","2014-02-11",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_KG_CLV05","Euro per kilogram, chain linked volumes (2005)","","EUR_KG_CLV05","valid","2014-02-11",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28","Percentage of EU28 total","","PC_EU28","valid","2014-02-11",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_EUR_HAB","Percentage of EU28 total (based on euro per inhabitant)","","PC_EU28_EUR_HAB","valid","2014-02-11",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_PPS_HAB","Percentage of EU28 total (based on purchasing power standards per inhabitant)","","PC_EU28_PPS_HAB","valid","2014-02-11",
